,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,LightGBM,0.4478114892961651,0.9792,46.78546452522278,0.2709779739379883,659.9177811145782,46.78546452522278,0.2709779739379883,659.9177811145782,1,True,5
1,LightGBMXT,0.39431695672262435,0.9804,38.34790802001953,0.28407716751098633,642.9516725540161,38.34790802001953,0.28407716751098633,642.9516725540161,1,True,4
2,CatBoost,0.3857415678422917,0.9772,2.960803508758545,0.07812190055847168,6549.421641111374,2.960803508758545,0.07812190055847168,6549.421641111374,1,True,8
3,LightGBMLarge,0.3489542584321577,0.9752,14.983516216278076,0.11591219902038574,363.32916712760925,14.983516216278076,0.11591219902038574,363.32916712760925,1,True,13
4,ExtraTreesEntr,0.3279624210688434,0.9708,5.062466382980347,0.35512614250183105,41.18434524536133,5.062466382980347,0.35512614250183105,41.18434524536133,1,True,10
5,ExtraTreesGini,0.32208224241490835,0.9704,5.226703882217407,0.34125494956970215,43.69572854042053,5.226703882217407,0.34125494956970215,43.69572854042053,1,True,9
6,KNeighborsDist,0.31830278761743414,0.9536,1172.5055658817291,7.8576109409332275,3.3439183235168457,1172.5055658817291,7.8576109409332275,3.3439183235168457,1,True,2
7,KNeighborsUnif,0.3182843061758817,0.9524,1220.5116007328033,8.16045880317688,3.2833709716796875,1220.5116007328033,8.16045880317688,3.2833709716796875,1,True,1
8,RandomForestGini,0.3172739873710149,0.972,4.913527965545654,0.37328195571899414,301.93418431282043,4.913527965545654,0.37328195571899414,301.93418431282043,1,True,6
9,RandomForestEntr,0.3172431849684275,0.9708,4.785259962081909,0.31196165084838867,527.0753376483917,4.785259962081909,0.31196165084838867,527.0753376483917,1,True,7
10,XGBoost,0.26641922069921453,0.976,9.179840326309204,0.10969233512878418,1009.0897982120514,9.179840326309204,0.10969233512878418,1009.0897982120514,1,True,11
11,NeuralNetFastAI,0.07403049437856153,0.9844,11.96431851387024,0.3510904312133789,211.47184777259827,11.96431851387024,0.3510904312133789,211.47184777259827,1,True,3
12,WeightedEnsemble_L2,0.07101185892499615,0.9848,26.734318733215332,0.6503088474273682,824.6477262973785,0.09600138664245605,0.0,0.8932113647460938,2,True,14
13,NeuralNetTorch,0.069176035730787,0.9828,14.673998832702637,0.29921841621398926,612.2826671600342,14.673998832702637,0.29921841621398926,612.2826671600342,1,True,12
